Alabama,Eastern,4.779.736,23,93.820,19
Alaska,Pacific,710.231,47,15.719,46
Arizona,Mountain,6.392.017,16,60.440,33
Arkansas,Central,2.915.918,32,100.100,17
California,Pacific,37.253.956,1,171.874,2
Colorado,Mountain,5.029.196,22,88.278,22
Connecticut,Eastern,3.574.097,29,21.407,44
Delaware,Eastern,897.934,45,6.302,49
Dist of Columbia,Eastern,0,0,0,0
Florida,Eastern,18.801.310,4,121.447,11
Georgia,Eastern,9.687.653,9,121.631,10
Hawaii,Pacific,1.360.301,40,4.371,50
Idaho,Mountain,1.567.582,39,48.180,35
Illinois,Central,12.830.632,5,139.577,4
Indiana,Eastern,6.483.802,15,95.679,18
Iowa,Central,3.046.355,30,114.347,15
Kansas,Central,2.853.118,33,140.753,3
Kentucky,Eastern,4.339.367,26,78.963,26
Louisiana,Central,4.533.372,25,61.335,32
Maine,Eastern,1.328.361,41,22.839,43
Maryland,Eastern,5.773.552,19,31.461,41
Massachusetts,Eastern,6.547.629,14,36.177,39
Michigan,Eastern,9.883.640,8,121.651,9
Minnesota,Central,5.303.925,21,137.932,5
Mississippi,Central,2.967.297,31,74.985,27
Missouri,Central,5.988.927,18,130.359,6
Montana,Mountain,989.415,44,73.627,29
Nebraska,Central,1.826.341,38,93.631,20
Nevada,Pacific,2.700.551,35,34.844,40
New Hampshire,Eastern,1.316.470,42,16.041,45
New Jersey,Eastern,8.791.894,11,38.835,37
New Mexico,Mountain,2.059.179,36,68.384,30
New York,Eastern,19.378.102,3,114.546,14
North Carolina,Eastern,9.535.483,10,105.317,16
North Dakota,Central,672.591,48,86.843,23
Ohio,Eastern,11.536.504,7,123.024,7
Oklahoma,Central,3.751.351,28,115.851,12
Oregon,Pacific,3.831.074,27,59.128,34
Pennsylvania,Eastern,12.702.379,6,121.780,8
Rhode Island,Eastern,1.052.567,43,6.400,48
South Carolina,Eastern,4.625.364,24,66.263,31
South Dakota,Central,814.180,46,82.354,25
Tennessee,Eastern,6.346.105,17,93.252,21
Texas,Central,25.145.561,2,310.850,1
Utah,Mountain,2.763.885,34,44.877,36
Vermont,Eastern,625.741,49,14.436,47
Virginia,Eastern,8.001.024,12,74.182,28
Washington,Pacific,6.724.540,13,83.507,24
West Virginia,Eastern,1.852.994,37,38.598,38
Wisconsin,Central,5.686.986,20,114.910,13
Wyoming,Mountain,563.626,50,28.105,42
