Table 3: Fatalities in Crashes Involving Large Trucks by State: 1996 - 2008,,,,,,,,,,,,,
State,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Alabama ,152,172,158,161,159,145,128,147,164,122,137,134,131
Alaska ,6,7,2,5,4,10,8,5,14,5,4,4,5
Arizona ,98,73,125,108,105,85,104,119,106,118,136,98,97
Arkansas ,104,135,109,96,118,98,98,109,110,115,91,114,77
California ,390,409,378,363,374,378,362,370,415,429,394,366,318
Colorado ,63,80,61,71,68,95,53,77,69,68,67,82,68
Connecticut ,34,25,28,21,34,29,18,24,25,21,29,28,22
Delaware ,14,17,17,11,20,15,17,19,19,7,17,6,7
Dist of Columbia ,4,4,1,2,2,1,0,0,5,3,2,2,2
Florida ,305,308,352,349,310,365,376,365,377,400,350,301,263
Georgia ,220,254,223,248,219,255,198,232,248,229,232,229,180
Hawaii ,13,3,3,3,2,8,4,4,4,9,12,3,6
Idaho ,40,34,28,31,26,34,32,40,29,34,29,27,30
Illinois ,152,166,184,211,173,200,156,194,158,191,159,154,144
Indiana ,166,158,181,205,163,135,131,156,157,138,140,147,136
Iowa ,84,89,92,112,90,83,68,77,70,73,75,71,73
Kansas ,64,96,86,96,81,80,79,71,94,80,69,77,63
Kentucky ,100,115,112,94,101,107,122,119,124,124,105,104,113
Louisiana ,107,132,157,131,126,123,114,130,105,122,104,121,111
Maine ,15,23,23,25,30,28,22,14,21,19,21,21,23
Maryland ,70,84,63,54,63,78,63,62,83,60,61,69,60
Massachusetts ,39,39,35,37,51,30,24,35,43,24,34,28,20
Michigan ,162,150,159,139,156,122,135,117,118,111,116,124,88
Minnesota ,77,102,87,91,89,64,86,68,74,70,62,86,70
Mississippi ,99,106,130,118,123,98,83,72,101,91,90,75,70
Missouri ,167,158,183,178,183,139,154,167,158,166,155,136,124
Montana ,21,27,21,19,26,27,26,27,16,23,34,31,25
Nebraska ,63,53,43,59,56,68,59,56,49,48,34,43,43
Nevada ,44,31,38,44,37,46,32,32,29,53,51,29,22
New Hampshire ,12,12,10,11,10,14,15,13,15,11,7,12,13
New Jersey ,86,92,72,60,94,77,72,75,86,98,74,64,47
New Mexico ,56,53,46,66,52,59,61,50,63,63,80,57,45
New York ,161,161,143,177,157,139,132,158,140,145,174,155,118
North Carolina ,183,231,247,201,191,201,169,162,200,204,152,168,162
North Dakota ,12,12,11,25,10,12,19,16,15,17,19,12,20
Ohio ,224,220,200,215,189,168,203,151,190,177,158,134,143
Oklahoma ,99,105,134,103,112,94,130,102,114,121,140,112,115
Oregon ,64,80,74,49,52,64,55,65,53,66,62,53,37
Pennsylvania ,185,196,181,227,184,185,174,224,189,183,193,194,192
Rhode Island ,6,2,3,9,1,6,5,6,5,1,8,7,2
South Carolina ,111,90,128,118,133,108,101,99,110,124,95,91,85
South Dakota ,24,20,15,23,22,21,19,17,18,13,19,14,14
Tennessee ,175,145,125,185,163,138,150,118,155,163,148,149,95
Texas ,450,455,479,434,513,486,467,487,483,506,500,502,441
Utah ,36,57,54,43,39,34,44,21,31,32,39,39,29
Vermont ,10,18,9,11,9,7,10,10,15,9,11,5,7
Virginia ,121,130,131,107,115,110,100,120,99,112,107,108,78
Washington ,73,89,72,63,72,63,55,46,57,69,65,79,55
West Virginia ,60,60,42,65,57,48,65,57,64,55,48,48,47
Wisconsin ,105,95,107,81,97,108,109,101,107,87,76,85,63
Wyoming ,16,25,33,25,21,23,32,30,41,31,42,24,30
US Total,5142,5398,5395,5380,5282,5111,4939,5036,5235,5240,5027,4822,4229
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Notes: A large truck is defined as a truck with a gross vehicle weight rating (GVWR) greater than 10,000 pounds.",,,,,,,,,,,,,
Source: Fatality Analysis Reporting System (FARS),,,,,,,,,,,,,
"Analysis Division, FMCSA",,,,,,,,,"Dec. 23, 2009",,,,
